Date,Province,Vac Allocated AstraZeneca 1,Vac Allocated AstraZeneca 2,Vac Allocated Sinovac 1,Vac Allocated Sinovac 2,Vac Given,Vac Given 1 Cum,Vac Given 2 %,Vac Given 2 Cum,Vac Given AstraZeneca,Vac Given AstraZeneca Cum,Vac Given Cum,Vac Given Sinopharm,Vac Given Sinopharm Cum,Vac Given Sinovac,Vac Given Sinovac Cum,Vac Group Medical Staff 1 Cum,Vac Group Medical Staff 2 Cum,Vac Group Other Frontline Staff 1 Cum,Vac Group Other Frontline Staff 2 Cum,Vac Group Over 60 1 Cum,Vac Group Over 60 2 Cum,Vac Group Risk: Disease 1 Cum,Vac Group Risk: Disease 2 Cum,Vac Group Risk: Location 1 Cum,Vac Group Risk: Location 2 Cum
2021-03-08,Samut Songkhram,0.0,0.0,2000.0,0.0,133.0,1189.0,0.0,0.0,0.0,0.0,937.0,0.0,0.0,133.0,937.0,555.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Suphan Buri,,,,,,,,,,0.0,1.0,,0.0,,1.0,,,,,,,,,,
2021-03-08,Surat Thani,0.0,0.0,2520.0,0.0,228.0,1196.0,0.0,0.0,0.0,0.0,1196.0,0.0,0.0,228.0,1196.0,365.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,Tak,0.0,0.0,5000.0,0.0,255.0,1304.0,0.0,0.0,0.0,0.0,1310.0,0.0,0.0,255.0,1310.0,1035.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Bangkok,0.0,0.0,33600.0,0.0,317.0,3725.0,0.0,0.0,0.0,0.0,3809.0,0.0,0.0,317.0,3809.0,2381.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Chiang Mai,0.0,0.0,3520.0,0.0,124.0,1661.0,0.0,0.0,0.0,0.0,1672.0,0.0,0.0,124.0,1672.0,1378.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Chonburi,0.0,0.0,4720.0,0.0,,2360.0,0.0,0.0,,0.0,2360.0,,0.0,,2360.0,2296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Nakhon Pathom,0.0,0.0,3560.0,0.0,39.0,1918.0,0.0,0.0,0.0,0.0,1708.0,0.0,0.0,39.0,1708.0,1422.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Nonthaburi,0.0,0.0,6000.0,0.0,130.0,2542.0,0.0,0.0,10.0,10.0,2562.0,0.0,0.0,120.0,2552.0,2511.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Pathum Thani,0.0,0.0,8000.0,0.0,168.0,2338.0,0.0,0.0,0.0,0.0,2276.0,0.0,0.0,168.0,2276.0,1585.0,0.0,527.0,0.0,165.0,0.0,0.0,0.0,61.0,0.0
